Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Region,Total Revenue
71,14-07-2023,CUST071,Female,51,Beauty,4,25,100,North Asia,0.16
72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000,Central,0.01
73,21-08-2023,CUST073,Male,29,Electronics,3,30,90,Africa,0.10
74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000,Southeast Asia,0.01
75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,North,0.08
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,Oceania,0.04
77,09-07-2023,CUST077,Female,47,Clothing,2,50,100,South,0.04
78,01-07-2023,CUST078,Female,47,Clothing,3,500,1500,Central,0.01
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,North Asia,0.00
80,10-12-2023,CUST080,Female,64,Clothing,2,30,60,Central Asia,0.07
81,17-05-2023,CUST081,Male,40,Electronics,1,50,50,Central,0.02
82,26-12-2023,CUST082,Female,32,Beauty,4,50,200,Africa,0.08
83,16-12-2023,CUST083,Male,54,Electronics,2,50,100,Central,0.04
84,28-11-2023,CUST084,Female,38,Electronics,3,30,90,East,0.10
85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,Central,0.06
86,08-11-2023,CUST086,Male,19,Beauty,3,30,90,Southeast Asia,0.10
87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,Africa,0.04
88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,Oceania,0.00
89,01-10-2023,CUST089,Female,55,Electronics,4,500,2000,Central Asia,0.01
90,06-05-2023,CUST090,Female,51,Electronics,1,30,30,North Asia,0.03
91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,Central Asia,0.00
92,25-08-2023,CUST092,Female,51,Electronics,4,30,120,West,0.13
93,14-07-2023,CUST093,Female,35,Beauty,4,500,2000,Central,0.01
94,19-05-2023,CUST094,Female,47,Beauty,2,500,1000,Canada,0.00
95,24-11-2023,CUST095,Female,32,Clothing,2,30,60,Southeast Asia,0.07
96,19-12-2023,CUST096,Female,44,Clothing,2,300,600,Oceania,0.01
97,13-10-2023,CUST097,Female,51,Beauty,2,500,1000,Central,0.00
98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,Oceania,0.04
99,17-12-2023,CUST099,Female,50,Electronics,4,300,1200,Central,0.01
100,16-06-2023,CUST100,Male,41,Electronics,1,30,30,Central,0.03
101,29-01-2023,CUST101,Male,32,Clothing,2,300,600,Africa,0.01
102,28-04-2023,CUST102,Female,47,Beauty,2,25,50,Oceania,0.08
103,17-01-2023,CUST103,Female,59,Clothing,1,25,25,Central,0.04
104,11-06-2023,CUST104,Female,34,Beauty,2,500,1000,North,0.00
105,25-07-2023,CUST105,Female,22,Electronics,1,500,500,Central,0.00
106,18-05-2023,CUST106,Female,46,Clothing,1,50,50,Central,0.02
107,03-02-2023,CUST107,Female,21,Clothing,4,300,1200,West,0.01
108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,South,0.12
109,18-10-2023,CUST109,Female,34,Electronics,4,500,2000,Oceania,0.01
110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,Central,0.01
111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,East,0.01
112,02-12-2023,CUST112,Male,37,Clothing,3,500,1500,Central,0.01
113,13-09-2023,CUST113,Female,41,Electronics,2,25,50,South,0.08
114,22-07-2023,CUST114,Female,22,Beauty,4,25,100,Oceania,0.16
115,26-11-2023,CUST115,Male,51,Clothing,3,500,1500,North Asia,0.01
116,23-08-2023,CUST116,Female,23,Clothing,1,30,30,West,0.03
117,15-03-2023,CUST117,Male,19,Electronics,2,500,1000,Central,0.00
118,16-05-2023,CUST118,Female,30,Electronics,4,500,2000,West,0.01
119,13-03-2023,CUST119,Female,60,Clothing,3,50,150,Central,0.06
120,07-05-2023,CUST120,Male,60,Beauty,1,50,50,North Asia,0.02
121,15-10-2023,CUST121,Female,28,Electronics,4,50,200,Oceania,0.08
122,03-10-2023,CUST122,Male,64,Electronics,4,30,120,East,0.13
123,15-05-2023,CUST123,Female,40,Electronics,2,30,60,Central,0.07
124,27-10-2023,CUST124,Male,33,Clothing,4,500,2000,Oceania,0.01
125,08-08-2023,CUST125,Male,48,Clothing,2,50,100,Central,0.04
126,26-10-2023,CUST126,Female,28,Clothing,3,30,90,Southeast Asia,0.10
127,24-07-2023,CUST127,Female,33,Clothing,2,25,50,South,0.08
128,05-07-2023,CUST128,Male,25,Beauty,1,500,500,East,0.00
129,23-04-2023,CUST129,Female,21,Beauty,2,300,600,East,0.01
130,12-03-2023,CUST130,Female,57,Clothing,1,500,500,South,0.00
131,18-09-2023,CUST131,Female,21,Beauty,2,300,600,Central Asia,0.01
132,10-09-2023,CUST132,Male,42,Electronics,4,50,200,North Asia,0.08
133,16-02-2023,CUST133,Male,20,Electronics,3,300,900,Southeast Asia,0.01
134,25-01-2023,CUST134,Male,49,Electronics,1,50,50,Southeast Asia,0.02
135,26-02-2023,CUST135,Male,20,Clothing,2,25,50,West,0.08
136,20-03-2023,CUST136,Male,44,Electronics,2,300,600,Southeast Asia,0.01
137,18-11-2023,CUST137,Male,46,Beauty,2,500,1000,North,0.00
138,23-03-2023,CUST138,Male,49,Clothing,4,50,200,North Asia,0.08
139,15-12-2023,CUST139,Male,36,Beauty,4,500,2000,Central,0.01
140,05-08-2023,CUST140,Male,38,Electronics,1,30,30,West,0.03
141,02-11-2023,CUST141,Female,22,Electronics,1,50,50,South,0.02
142,02-02-2023,CUST142,Male,35,Electronics,4,300,1200,South,0.01
143,17-07-2023,CUST143,Female,45,Clothing,1,50,50,Africa,0.02
144,15-07-2023,CUST144,Female,59,Beauty,3,500,1500,West,0.01
145,02-11-2023,CUST145,Female,39,Clothing,3,25,75,Southeast Asia,0.12
146,28-08-2023,CUST146,Male,38,Clothing,4,50,200,Oceania,0.08
147,28-09-2023,CUST147,Male,23,Electronics,1,300,300,North Asia,0.00
148,09-05-2023,CUST148,Male,18,Clothing,2,30,60,East,0.07
149,11-10-2023,CUST149,Male,22,Clothing,3,25,75,Oceania,0.12
150,06-01-2023,CUST150,Female,58,Electronics,4,30,120,Central Asia,0.13
151,15-12-2023,CUST151,Male,29,Clothing,1,50,50,Central,0.02
152,28-02-2023,CUST152,Male,43,Electronics,4,500,2000,Central,0.01
153,16-12-2023,CUST153,Male,63,Electronics,2,500,1000,Central,0.00
154,02-10-2023,CUST154,Male,51,Electronics,3,300,900,Central,0.01
155,17-05-2023,CUST155,Male,31,Electronics,4,500,2000,Oceania,0.01
156,25-11-2023,CUST156,Female,43,Clothing,4,25,100,Central,0.16
157,24-06-2023,CUST157,Male,62,Electronics,4,500,2000,Central,0.01
158,27-02-2023,CUST158,Female,44,Electronics,2,300,600,Central,0.01
159,31-05-2023,CUST159,Male,26,Clothing,4,50,200,East,0.08
160,11-08-2023,CUST160,Female,43,Clothing,2,50,100,North,0.04
161,22-03-2023,CUST161,Male,64,Beauty,2,500,1000,North Asia,0.00
162,21-08-2023,CUST162,Male,39,Clothing,2,30,60,South,0.07
163,02-01-2023,CUST163,Female,64,Clothing,3,50,150,EMEA,0.06
164,15-05-2023,CUST164,Female,47,Beauty,3,500,1500,North Asia,0.01
165,14-09-2023,CUST165,Female,60,Clothing,4,300,1200,Oceania,0.01
166,02-04-2023,CUST166,Male,34,Clothing,4,500,2000,Central,0.01
167,17-09-2023,CUST167,Female,43,Clothing,3,50,150,Southeast Asia,0.06
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,Southeast Asia,0.00
169,17-11-2023,CUST169,Male,18,Beauty,3,500,1500,North,0.01
170,02-06-2023,CUST170,Female,25,Clothing,2,25,50,Southeast Asia,0.08
171,24-11-2023,CUST171,Female,52,Clothing,3,300,900,Oceania,0.01
172,17-09-2023,CUST172,Male,32,Beauty,2,25,50,East,0.08
173,08-11-2023,CUST173,Male,64,Electronics,4,30,120,Southeast Asia,0.13
174,12-04-2023,CUST174,Female,39,Beauty,1,300,300,East,0.00
175,20-03-2023,CUST175,Female,31,Electronics,4,25,100,North Asia,0.16
176,11-07-2023,CUST176,Female,43,Beauty,2,50,100,North,0.04
177,24-03-2023,CUST177,Male,45,Beauty,2,50,100,North,0.04
178,04-10-2023,CUST178,Male,40,Clothing,2,30,60,EMEA,0.07
179,29-09-2023,CUST179,Male,31,Electronics,1,300,300,South,0.00
180,01-01-2023,CUST180,Male,41,Clothing,3,300,900,South,0.01
181,03-11-2023,CUST181,Male,19,Electronics,4,300,1200,EMEA,0.01
182,15-06-2023,CUST182,Male,62,Beauty,4,30,120,Central,0.13
183,08-09-2023,CUST183,Female,43,Beauty,3,300,900,Central,0.01
184,10-01-2023,CUST184,Male,31,Electronics,4,50,200,South,0.08
185,27-02-2023,CUST185,Male,24,Clothing,1,25,25,Central Asia,0.04
186,05-07-2023,CUST186,Male,20,Clothing,4,50,200,Central,0.08
187,07-06-2023,CUST187,Female,64,Clothing,2,50,100,Oceania,0.04
188,03-05-2023,CUST188,Male,40,Clothing,3,25,75,Central Asia,0.12
189,30-01-2023,CUST189,Male,63,Beauty,1,50,50,Southeast Asia,0.02
190,04-05-2023,CUST190,Female,60,Beauty,3,30,90,North,0.10
191,18-10-2023,CUST191,Male,64,Beauty,1,25,25,Southeast Asia,0.04
192,10-02-2023,CUST192,Male,62,Beauty,2,50,100,Oceania,0.04
193,13-02-2023,CUST193,Male,35,Beauty,3,500,1500,North,0.01
194,06-09-2023,CUST194,Male,55,Clothing,4,50,200,West,0.08
195,05-02-2023,CUST195,Male,52,Clothing,1,30,30,Southeast Asia,0.03
196,30-09-2023,CUST196,Female,32,Clothing,3,300,900,West,0.01
197,06-03-2023,CUST197,Female,42,Clothing,4,50,200,Central,0.08
198,07-03-2023,CUST198,Female,54,Beauty,3,300,900,East,0.01
199,04-12-2023,CUST199,Male,45,Beauty,3,500,1500,Oceania,0.01
200,01-09-2023,CUST200,Male,27,Beauty,3,50,150,Central,0.06
201,09-10-2023,CUST201,Male,56,Electronics,1,25,25,North Asia,0.04
202,26-03-2023,CUST202,Female,34,Clothing,4,300,1200,Oceania,0.01
203,16-05-2023,CUST203,Male,56,Clothing,2,500,1000,East,0.00
204,28-09-2023,CUST204,Male,39,Beauty,1,25,25,Southeast Asia,0.04
205,07-11-2023,CUST205,Female,43,Clothing,1,25,25,Africa,0.04
206,05-08-2023,CUST206,Male,61,Clothing,1,25,25,South,0.04
207,19-04-2023,CUST207,Female,42,Beauty,2,25,50,East,0.08
208,04-10-2023,CUST208,Female,34,Electronics,4,50,200,East,0.08
209,20-12-2023,CUST209,Female,30,Electronics,4,50,200,Caribbean,0.08
210,13-04-2023,CUST210,Male,37,Electronics,4,50,200,East,0.08
211,01-01-2024,CUST211,Male,42,Beauty,3,500,1500,North Asia,0.01
212,09-06-2023,CUST212,Male,21,Clothing,3,500,1500,Central,0.01
213,24-07-2023,CUST213,Male,27,Beauty,3,500,1500,West,0.01
214,10-12-2023,CUST214,Male,20,Beauty,2,30,60,EMEA,0.07
215,29-11-2023,CUST215,Male,58,Clothing,3,500,1500,Central Asia,0.01
216,11-07-2023,CUST216,Male,62,Electronics,2,50,100,North Asia,0.04
217,13-08-2023,CUST217,Female,35,Electronics,4,50,200,South,0.08
218,22-09-2023,CUST218,Male,64,Beauty,3,30,90,Central Asia,0.10
219,20-08-2023,CUST219,Female,53,Electronics,3,30,90,Oceania,0.10
220,03-03-2023,CUST220,Male,64,Beauty,1,500,500,Southeast Asia,0.00
221,07-05-2023,CUST221,Male,39,Beauty,2,300,600,EMEA,0.01
222,26-04-2023,CUST222,Male,51,Clothing,4,30,120,East,0.13
223,02-02-2023,CUST223,Female,64,Clothing,1,25,25,North Asia,0.04
224,23-06-2023,CUST224,Female,25,Clothing,1,50,50,North Asia,0.02
225,11-01-2023,CUST225,Female,57,Beauty,4,25,100,Central Asia,0.16
226,29-10-2023,CUST226,Female,61,Clothing,1,50,50,Central Asia,0.02
227,11-10-2023,CUST227,Male,36,Electronics,2,50,100,Oceania,0.04
228,28-04-2023,CUST228,Female,59,Electronics,2,30,60,Southeast Asia,0.07
229,29-10-2023,CUST229,Male,58,Beauty,3,30,90,North Asia,0.10
230,23-04-2023,CUST230,Male,54,Beauty,1,25,25,Central,0.04
231,04-01-2023,CUST231,Female,23,Clothing,3,50,150,Central,0.06
232,06-02-2023,CUST232,Female,43,Beauty,1,25,25,West,0.04
233,29-12-2023,CUST233,Female,51,Beauty,2,300,600,East,0.01
234,20-11-2023,CUST234,Female,62,Electronics,2,25,50,Africa,0.08
235,31-01-2023,CUST235,Female,23,Electronics,2,500,1000,Africa,0.00
236,28-04-2023,CUST236,Female,54,Clothing,1,25,25,South,0.04
237,04-02-2023,CUST237,Female,50,Beauty,2,500,1000,East,0.00
238,17-01-2023,CUST238,Female,39,Beauty,1,500,500,North,0.00
239,19-06-2023,CUST239,Male,38,Electronics,3,500,1500,Central,0.01
240,06-02-2023,CUST240,Female,23,Beauty,1,300,300,West,0.00
241,21-09-2023,CUST241,Female,23,Electronics,3,25,75,East,0.12
242,02-05-2023,CUST242,Male,21,Clothing,1,25,25,EMEA,0.04
243,23-05-2023,CUST243,Female,47,Electronics,3,300,900,Southeast Asia,0.01
244,09-12-2023,CUST244,Male,28,Beauty,2,50,100,North,0.04
245,06-09-2023,CUST245,Male,47,Clothing,3,30,90,Central,0.10
246,20-04-2023,CUST246,Female,48,Electronics,2,25,50,EMEA,0.08
247,04-10-2023,CUST247,Male,41,Electronics,2,30,60,Oceania,0.07
248,09-03-2023,CUST248,Male,26,Clothing,3,300,900,West,0.01
249,20-10-2023,CUST249,Male,20,Clothing,1,50,50,South,0.02
250,23-10-2023,CUST250,Male,48,Electronics,1,50,50,Africa,0.02
251,31-08-2023,CUST251,Female,57,Beauty,4,50,200,Central Asia,0.08
252,05-05-2023,CUST252,Male,54,Electronics,1,300,300,Central,0.00
253,31-08-2023,CUST253,Female,53,Clothing,4,500,2000,Africa,0.01
254,28-07-2023,CUST254,Male,41,Electronics,1,500,500,Oceania,0.00
255,08-04-2023,CUST255,Male,48,Clothing,1,30,30,North Asia,0.03
256,18-02-2023,CUST256,Male,23,Clothing,2,500,1000,South,0.00
257,19-02-2023,CUST257,Male,19,Beauty,4,500,2000,Central,0.01
258,04-12-2023,CUST258,Female,37,Clothing,1,50,50,Central,0.02
259,09-08-2023,CUST259,Female,45,Clothing,4,50,200,West,0.08
260,01-07-2023,CUST260,Male,28,Beauty,2,30,60,South,0.07
261,05-08-2023,CUST261,Male,21,Clothing,2,25,50,Central,0.08
262,30-07-2023,CUST262,Female,32,Beauty,4,30,120,Central,0.13
263,28-08-2023,CUST263,Male,23,Beauty,2,30,60,North Asia,0.07
264,28-01-2023,CUST264,Male,47,Clothing,3,300,900,Central,0.01
265,11-12-2023,CUST265,Male,55,Clothing,3,300,900,Central,0.01
266,01-12-2023,CUST266,Female,19,Electronics,2,30,60,Central,0.07
267,27-11-2023,CUST267,Female,32,Beauty,3,30,90,Southeast Asia,0.10
268,20-02-2023,CUST268,Female,28,Electronics,1,30,30,South,0.03
269,01-02-2023,CUST269,Male,25,Clothing,4,500,2000,Central,0.01
270,26-07-2023,CUST270,Male,43,Electronics,1,300,300,North,0.00
271,23-06-2023,CUST271,Female,62,Beauty,4,30,120,Oceania,0.13
272,25-02-2023,CUST272,Female,61,Electronics,2,50,100,North Asia,0.04
273,08-05-2023,CUST273,Female,22,Beauty,1,50,50,North,0.02
274,09-04-2023,CUST274,Female,23,Clothing,2,500,1000,Africa,0.00
275,08-04-2023,CUST275,Male,43,Clothing,2,500,1000,Central Asia,0.00
276,02-10-2023,CUST276,Female,21,Beauty,4,25,100,South,0.16
277,18-08-2023,CUST277,Male,36,Clothing,4,25,100,Southeast Asia,0.16
278,13-03-2023,CUST278,Female,37,Clothing,4,25,100,Southeast Asia,0.16
279,05-08-2023,CUST279,Male,50,Clothing,1,500,500,Caribbean,0.00
280,04-04-2023,CUST280,Female,37,Clothing,3,500,1500,Central,0.01
281,23-05-2023,CUST281,Female,29,Beauty,4,500,2000,Oceania,0.01
282,25-08-2023,CUST282,Female,64,Electronics,4,50,200,East,0.08
283,08-05-2023,CUST283,Female,18,Electronics,1,500,500,EMEA,0.00
284,08-02-2023,CUST284,Male,43,Clothing,4,50,200,North,0.08
285,15-08-2023,CUST285,Female,31,Electronics,1,25,25,North,0.04
286,09-10-2023,CUST286,Male,55,Electronics,2,25,50,North,0.08
287,20-02-2023,CUST287,Male,54,Clothing,4,25,100,West,0.16
288,26-01-2023,CUST288,Male,28,Clothing,4,30,120,West,0.13
289,30-11-2023,CUST289,Male,53,Electronics,2,30,60,West,0.07
290,04-10-2023,CUST290,Female,30,Beauty,2,300,600,EMEA,0.01
291,08-01-2023,CUST291,Male,60,Clothing,2,300,600,East,0.01
292,17-02-2023,CUST292,Male,20,Beauty,4,300,1200,Africa,0.01
293,02-05-2023,CUST293,Male,50,Electronics,3,30,90,North,0.10
294,27-03-2023,CUST294,Female,23,Clothing,3,30,90,Oceania,0.10
295,28-07-2023,CUST295,Female,27,Beauty,3,300,900,Africa,0.01
296,06-09-2023,CUST296,Female,22,Clothing,4,300,1200,North,0.01
297,04-09-2023,CUST297,Female,40,Electronics,2,500,1000,Central Asia,0.00
298,20-04-2023,CUST298,Male,27,Beauty,4,300,1200,Southeast Asia,0.01
299,25-07-2023,CUST299,Male,61,Electronics,2,500,1000,South,0.00
300,31-01-2023,CUST300,Female,19,Electronics,4,50,200,North Asia,0.08
301,26-03-2023,CUST301,Male,30,Clothing,4,30,120,North Asia,0.13
302,14-07-2023,CUST302,Male,57,Beauty,2,300,600,Central,0.01
303,02-01-2023,CUST303,Male,19,Electronics,3,30,90,EMEA,0.10
304,19-07-2023,CUST304,Female,37,Electronics,2,30,60,South,0.07
305,16-05-2023,CUST305,Female,18,Beauty,1,30,30,Oceania,0.03
306,21-08-2023,CUST306,Male,54,Electronics,1,50,50,East,0.02
307,27-05-2023,CUST307,Female,26,Electronics,2,25,50,Oceania,0.08
308,05-08-2023,CUST308,Female,34,Beauty,4,300,1200,South,0.01
309,23-12-2023,CUST309,Female,26,Beauty,1,25,25,Africa,0.04
310,12-10-2023,CUST310,Female,28,Beauty,1,25,25,East,0.04
311,05-12-2023,CUST311,Female,32,Beauty,4,25,100,North,0.16
312,07-09-2023,CUST312,Male,41,Clothing,4,30,120,Southeast Asia,0.13
313,21-03-2023,CUST313,Female,55,Beauty,3,500,1500,Central,0.01
314,08-04-2023,CUST314,Male,52,Clothing,4,30,120,Central Asia,0.13
315,01-06-2023,CUST315,Male,47,Clothing,2,30,60,Central,0.07
316,22-04-2023,CUST316,Female,48,Clothing,2,25,50,Oceania,0.08
317,30-01-2023,CUST317,Male,22,Electronics,3,30,90,Central,0.10
318,24-10-2023,CUST318,Male,61,Clothing,1,25,25,Central,0.04
319,05-10-2023,CUST319,Male,31,Clothing,1,500,500,North Asia,0.00
320,01-02-2023,CUST320,Female,28,Electronics,4,300,1200,EMEA,0.01
321,10-06-2023,CUST321,Female,26,Electronics,2,25,50,Central Asia,0.08
322,30-01-2023,CUST322,Male,51,Electronics,1,500,500,Central,0.00
323,26-01-2023,CUST323,Female,29,Beauty,3,300,900,South,0.01
324,27-10-2023,CUST324,Female,52,Electronics,3,50,150,South,0.06
325,02-09-2023,CUST325,Female,52,Electronics,2,25,50,Southeast Asia,0.08
326,15-09-2023,CUST326,Female,18,Clothing,3,25,75,Southeast Asia,0.12
327,29-09-2023,CUST327,Male,57,Electronics,3,50,150,Central,0.06
328,22-03-2023,CUST328,Male,39,Beauty,2,50,100,Southeast Asia,0.04
329,30-01-2023,CUST329,Female,46,Electronics,4,25,100,Africa,0.16
330,18-09-2023,CUST330,Female,25,Beauty,4,50,200,Central,0.08
331,11-02-2023,CUST331,Male,28,Electronics,3,30,90,North Asia,0.10
332,06-04-2023,CUST332,Male,58,Electronics,4,300,1200,East,0.01
333,05-02-2023,CUST333,Female,54,Electronics,4,300,1200,Southeast Asia,0.01
334,01-11-2023,CUST334,Male,31,Electronics,3,300,900,Central,0.01
335,04-02-2023,CUST335,Female,47,Beauty,4,30,120,Oceania,0.13
336,12-12-2023,CUST336,Female,52,Beauty,3,50,150,South,0.06
337,01-05-2023,CUST337,Male,38,Clothing,1,500,500,Central,0.00
338,26-07-2023,CUST338,Male,54,Beauty,2,50,100,South,0.04
339,03-03-2023,CUST339,Female,22,Electronics,2,25,50,Central,0.08
340,19-10-2023,CUST340,Female,36,Clothing,4,300,1200,East,0.01
341,07-05-2023,CUST341,Male,31,Clothing,4,50,200,EMEA,0.08
342,24-10-2023,CUST342,Female,43,Clothing,4,500,2000,West,0.01
343,01-11-2023,CUST343,Male,21,Electronics,2,25,50,South,0.08
344,21-01-2023,CUST344,Female,42,Beauty,1,30,30,South,0.03
345,14-11-2023,CUST345,Male,62,Electronics,1,30,30,Central,0.03
346,11-02-2023,CUST346,Male,59,Clothing,2,500,1000,Southeast Asia,0.00
347,03-08-2023,CUST347,Male,42,Electronics,1,25,25,Oceania,0.04
348,03-12-2023,CUST348,Female,35,Electronics,2,300,600,Oceania,0.01
349,26-10-2023,CUST349,Female,57,Beauty,1,50,50,East,0.02
350,17-10-2023,CUST350,Male,25,Beauty,3,25,75,Central,0.12
351,25-09-2023,CUST351,Female,56,Clothing,3,30,90,Central,0.10
352,11-06-2023,CUST352,Male,57,Electronics,2,500,1000,Central,0.00
353,14-05-2023,CUST353,Male,31,Electronics,1,500,500,West,0.00
354,15-04-2023,CUST354,Female,49,Beauty,4,50,200,Central,0.08
355,09-12-2023,CUST355,Female,55,Electronics,1,500,500,Africa,0.00
356,10-06-2023,CUST356,Male,50,Electronics,3,500,1500,Oceania,0.01
357,03-05-2023,CUST357,Female,40,Electronics,3,25,75,Central,0.12
358,16-05-2023,CUST358,Female,32,Beauty,1,300,300,West,0.00
359,22-07-2023,CUST359,Male,50,Clothing,1,50,50,Central,0.02
360,09-03-2023,CUST360,Male,42,Clothing,4,25,100,Central,0.16
361,10-12-2023,CUST361,Female,34,Electronics,4,300,1200,West,0.01
362,27-11-2023,CUST362,Male,50,Clothing,1,25,25,Central,0.04
363,03-06-2023,CUST363,Male,64,Beauty,1,25,25,Central Asia,0.04
364,23-08-2023,CUST364,Female,19,Beauty,1,500,500,Oceania,0.00
